,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop
99,Niger,278,0,11,0,26,241,0,11,0.5,4199,173
100,Kyrgyzstan,270,42,4,0,33,233,5,41,0.6,9618,1474
101,Mauritius,268,0,7,0,8,253,3,211,6,4913,3863
102,Palestine,261,0,1,0,42,218,0,51,0.2,15140,2968
103,Nigeria,254,0,6,0,44,204,2,1,0.03,5000,24
104,Vietnam,251,0,0,0,126,125,8,3,0,106399,1093
105,Montenegro,248,7,2,0,4,242,7,395,3,2014,3207
106,Senegal,237,0,2,0,105,130,1,14,0.1,0,0
107,Bolivia,210,16,15,1,2,193,3,18,1,591,51
108,Georgia,208,12,3,0,46,159,6,52,0.8,2762,692
109,Sri Lanka,185,0,6,0,42,137,5,9,0.3,3248,152
110,Faeroe Islands,184,0,0,0,131,53,1,3766,0,5153,105458
111,DRC,180,0,18,0,9,153,0,2,0.2,0,0
112,Kenya,172,0,6,0,7,159,2,3,0.1,4973,92
113,Mayotte,171,0,2,0,22,147,3,627,7,1100,4032
114,Venezuela,166,0,7,0,65,94,6,6,0.2,1779,63
115,Bangladesh,164,0,17,0,33,114,1,1,0.1,4289,26
116,Martinique,152,0,4,0,50,98,20,405,11,0,0
117,Isle of Man,150,0,1,0,73,76,6,1764,12,1669,19628
118,Guinea,144,0,0,0,5,139,0,11,0,0,0
119,Guadeloupe,139,0,7,0,31,101,14,347,17,0,0
120,Brunei,135,0,1,0,85,49,3,309,2,8845,20218
121,Paraguay,119,4,5,0,15,99,1,17,0.7,2039,286
122,Cambodia,117,2,0,0,63,54,1,7,0,5768,345
123,Gibraltar,113,0,0,0,60,53,0,3354,0,1440,42741
124,Trinidad and Tobago,107,0,8,0,1,98,0,76,6,878,627
125,Rwanda,105,0,0,0,7,98,0,8,0,806,62
126,El Salvador,93,15,5,1,9,79,2,14,0.8,0,0
127,Djibouti,90,0,0,0,9,81,0,91,0,2229,2256
128,Madagascar,88,0,0,0,7,81,6,3,0,0,0
129,Guatemala,80,3,3,0,17,60,3,4,0.2,1134,63
130,Monaco,79,0,1,0,4,74,4,2013,25,0,0
131,Liechtenstein,78,0,1,0,55,22,0,2046,26,900,23605
132,French Guiana,77,0,0,0,34,43,1,258,0,0,0
133,Aruba,74,0,0,0,14,60,0,693,0,954,8935
134,Togo,65,0,3,0,23,39,0,8,0.4,1617,195
135,Barbados,63,0,3,0,6,54,4,219,10,557,1938
136,Jamaica,63,0,3,0,9,51,0,21,1,540,182
137,Mali,56,0,5,0,12,39,0,3,0.2,0,0
138,Uganda,52,0,0,0,0,52,0,1,0,3310,72
139,Ethiopia,52,0,2,0,4,46,1,0.5,0.02,2271,20
140,French Polynesia,47,0,0,0,0,47,0,167,0,694,2471
141,Congo,45,0,5,0,2,38,0,8,0.9,0,0
142,Cayman Islands,45,0,1,0,6,38,0,685,15,479,7288
143,Macao,44,0,0,0,10,34,1,68,0,0,0
144,Sint Maarten,40,0,6,0,1,33,2,933,140,112,2612
145,Bermuda,39,0,2,0,17,20,0,626,32,306,4913
146,Zambia,39,0,1,0,7,31,0,2,0.05,619,34
147,Bahamas,36,3,6,0,5,25,1,92,15,0,0
148,Guyana,33,0,5,0,8,20,4,42,6,132,168
149,Guinea-Bissau,33,0,0,0,0,33,0,17,0,0,0
150,Saint Martin,32,0,2,0,7,23,6,828,52,0,0
151,Eritrea,31,0,0,0,0,31,0,9,0,0,0
152,Gabon,30,0,1,0,1,28,0,13,0.4,0,0
153,Benin,26,0,1,0,5,20,0,2,0.08,0,0
154,Haiti,25,0,1,0,0,24,0,2,0.09,257,23
155,Tanzania,24,0,1,0,5,18,0,0.4,0.02,0,0
156,Myanmar,22,0,3,2,0,19,0,0.4,0.06,1246,23
157,Libya,20,0,1,0,1,18,0,3,0.1,326,47
158,Antigua and Barbuda,19,0,2,1,0,17,1,194,20,40,408
159,Syria,19,0,2,0,3,14,0,1,0.1,0,0
160,Maldives,19,0,0,0,13,6,0,35,0,0,0
161,New Caledonia,18,0,0,0,1,17,0,63,0,2320,8126
162,Angola,17,0,2,0,2,13,0,0.5,0.06,0,0
163,Namibia,16,0,0,0,3,13,0,6,0,362,142
164,Equatorial Guinea,16,0,0,0,3,13,0,11,0,854,609
165,Mongolia,16,1,0,0,4,12,0,5,0,0,0
166,Fiji,15,0,0,0,0,15,0,17,0,0,0
167,Dominica,15,0,0,0,1,14,0,208,0,293,4070
168,Liberia,14,0,3,0,3,8,0,3,0.6,0,0
169,Laos,14,0,0,0,0,14,0,2,0,765,105
170,Saint Lucia,14,0,0,0,1,13,0,76,0,0,0
171,Sudan,14,0,2,0,2,10,0,0.3,0.05,0,0
172,Cura̤ao,13,0,1,0,7,5,0,79,6,0,0
173,Grenada,12,0,0,0,0,12,2,107,0,45,400
174,Zimbabwe,11,0,2,0,0,9,0,0.7,0.1,371,25
175,Greenland,11,0,0,0,10,1,0,194,0,752,13246
176,Saint Kitts and Nevis,11,0,0,0,0,11,0,207,0,183,3440
177,Seychelles,11,0,0,0,0,11,0,112,0,0,0
178,Eswatini,10,0,0,0,4,6,0,9,0,0,0
179,Suriname,10,0,1,0,3,6,0,17,2,0,0
180,Mozambique,10,0,0,0,1,9,0,0.3,0,424,14
181,Chad,10,0,0,0,2,8,0,0.6,0,0,0
182,MS Zaandam,9,0,2,0,0,7,0,0,0,0,0
183,Nepal,9,0,0,0,1,8,0,0.3,0,2122,73
184,Montserrat,9,0,0,0,0,9,1,1803,0,36,7212
185,Somalia,8,0,0,0,1,7,0,0.5,0,0,0
186,St. Vincent Grenadines,8,0,0,0,1,7,0,72,0,56,505
187,CAR,8,0,0,0,0,8,0,2,0,0,0
188,Turks and Caicos,8,0,1,0,0,7,0,207,26,61,1576
189,Malawi,8,0,1,0,0,7,1,0.4,0.05,0,0
190,Belize,7,0,1,0,0,6,1,18,3,268,674
191,Vatican City,7,0,0,0,0,7,0,8739,0,0,0
192,Cabo Verde,7,0,1,0,1,5,0,13,2,0,0
193,Botswana,6,0,1,0,0,5,0,3,0.4,1154,491
194,Nicaragua,6,0,1,0,0,5,0,0.9,0.2,0,0
195,St. Barth,6,0,0,0,1,5,0,607,0,0,0
196,Sierra Leone,6,0,0,0,0,6,0,0.8,0,0,0
197,Mauritania,6,0,1,0,2,3,0,1,0.2,67,14
198,Bhutan,5,0,0,0,2,3,0,6,0,1166,1511
199,Western Sahara,4,0,0,0,0,4,0,7,0,0,0
200,Sao Tome and Principe,4,0,0,0,0,4,0,18,0,19,87
201,Gambia,4,0,1,0,2,1,0,2,0.4,0,0
202,Anguilla,3,0,0,0,0,3,0,200,0,0,0
203,Burundi,3,0,0,0,0,3,0,0.3,0,0,0
204,British Virgin Islands,3,0,0,0,0,3,0,99,0,0,0
205,Caribbean Netherlands,2,0,0,0,0,2,0,76,0,10,381
206,Falkland Islands,2,0,0,0,0,2,0,575,0,0,0
207,Papua New Guinea,2,0,0,0,0,2,0,0.2,0,72,8
208,South Sudan,2,0,0,0,0,2,0,0.2,0,0,0
209,Saint Pierre Miquelon,1,0,0,0,0,1,0,173,0,0,0
210,Timor-Leste,1,0,0,0,0,1,0,0.8,0,0,0
